,Title,Artist
461,Hot Girl Bummer,blackbear
462,What Am I,Why Don't We
463,Roxanne,Arizona Zervas
464,My Type,Saweetie
465,Raising Hell,Kesha Featuring Big Freedia
466,Lonely,Diplo Presents Thomas Wesley With Jonas Brothers
467,Teeth,5 Seconds Of Summer
468,Heartless,The Weeknd
469,HIGHEST IN THE ROOM,Travis Scott
470,Slow Dance,AJ Mitchell & Ava Max
471,Writing On The Wall,"French Montana Featuring Post Malone, Cardi B & Rvssian"
472,No Guidance,Chris Brown Featuring Drake
473,"fuck, i'm lonely",Lauv Featuring Anne-Marie
474,Make It Right,BTS Featuring Lauv
475,Liar,Camila Cabello
476,everything i wanted,Billie Eilish
477,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott
478,I'm Not Alright,Loud Luxury & Bryce Vine
479,Mother,Charlie Puth
480,Havana,Camila Cabello Featuring Young Thug
481,Perfect,Ed Sheeran
482,Bad At Love,Halsey
483,Thunder,Imagine Dragons
484,Rockstar,Post Malone Featuring 21 Savage
485,New Rules,Dua Lipa
486,Too Good At Good,es'
487,What Lovers Do,Maroon 5 Featuring SZA
488,Wolves,Selena Gomez X Marshmello
489,How Long,Charlie Puth
490,Sorry Not Sorry,Demi Lovato
491,Lights Down Low,MAX Featuring gnash
492,End Game,Taylor Swift Featuring Ed Sheeran & Future
493,Let You Down,NF
494,Feel It Still,Portugal. The Man
495,Good Old Days,Macklemore Featuring Kesha
496,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt
497,Too Much To Ask,Niall Horan
498,Him & I,G-Eazy & Halsey
499,Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno"
500,Meant To Be,Bebe Rexha & Florida Georgia Line
501,Young Dumb & Broke,Khalid
502,One Foot,WALK THE MOON
503,...Ready For It?,Taylor Swift
504,Faking It,Calvin Harris Featuring Kehlani & Lil Yachty
505,Love.,Kendrick Lamar Featuring Zacari
506,MIC Drop,BTS Featuring Desiigner
507,What About Us,P!nk
508,I Like Me Better,Lauv
509,Tell Me You Love Me,Demi Lovato
510,Feels Great,Cheat Codes Featuring Fetty Wap & CVBZ
511,River,Eminem Featuring Ed Sheeran
512,Never Be The Same,Camila Cabello
513,I Miss You,Clean Bandit Featuring Julia Michaels
514,New,Daya
515,A Little Work,Fergie
516,Reggaeton Lento (Bailemos),CNCO & Little Mix
517,Look What You Made Me Do,Taylor Swift
518,Beautiful Trauma,P!nk
519,Silence,Marshmello Featuring Khalid
520,New Rules,Dua Lipa
521,Perfect,Ed Sheeran
522,Bad At Love,Halsey
523,Havana,Camila Cabello Featuring Young Thug
524,Rockstar,Post Malone Featuring 21 Savage
525,How Long,Charlie Puth
526,Wolves,Selena Gomez X Marshmello
527,Let You Down,NF
528,Finesse,Bruno Mars & Cardi B
529,Lights Down Low,MAX Featuring gnash
530,End Game,Taylor Swift Featuring Ed Sheeran & Future
