,Title,Artist
599,Valentino,24kGoldn
600,Rockstar,Post Malone
601,Gucci Gang,Lil Pump
602,No Limit,G-Eazy
603,MotorSport,"Migos, Nicki Minaj"
604,River,Eminem
605,Bodak Yellow (Money Moves),Cardi B
606,Gummo,6ix9ine
607,Him & I,G-Eazy
608,I Fall Apart,Post Malone
609,Let You Down,NF
610,I Get The Bag,Gucci Mane
611,Love.,Kendrick Lamar
612,Plain Jane,A$AP Ferg
613,The Way Life Goes,Lil Uzi Vert
614,The Weekend,SZA
615,Young Dumb & Broke,Khalid
616,Bank Account,21 Savage
617,Sky Walker,Miguel
618,Ric Flair Drip,Offset
619,Lemon,N*E*R*D
620,Roll In Peace,Kodak Black
621,Pills And Automobiles,Chris Brown
622,Kooda,6ix9ine
623,Rake It Up,Yo Gotti
624,Rubbin Off The Paint,YBN Nahmir
625,Candy Paint,Post Malone
626,Codeine Dreaming,Kodak Black
627,The Race,Tay-K
628,My Dawg,Lil Baby
629,Pick It Up,Famous Dex
630,Betrayed,Lil Xan
631,No Smoke,YoungBoy Never Broke Again
632,Ice Tray,Quavo
633,Wanted You,NAV
634,Walk On Water,Eminem
635,Home,"Machine Gun Kelly,"
636,F**k Love,XXXTENTACION
637,Believe,Eminem
638,Juice,Yo Gotti
639,Dark Knight Dummo,Trippie Redd
640,When We,Tank
641,Ghostface Killers,"21 Savage, Offset"
642,Go Legend,Big Sean
643,Jocelyn Flores,XXXTENTACION
644,Faking It,Calvin Harris
645,Like Home,Eminem
646,Transportin,Kodak Black
647,American Dream,Jeezy
648,Sober,G-Eazy
649,Untouchable,Eminem
650,God's Plan,Drake
651,Rockstar,Post Malone
652,Finesse,Bruno Mars
653,Diplomatic Immunity,Drake
654,No Limit,G-Eazy
655,MotorSport,"Migos, Nicki Minaj"
656,Let You Down,NF
657,Love.,Kendrick Lamar
658,Him & I,G-Eazy
659,Gucci Gang,Lil Pump
660,Gummo,6ix9ine
661,I Fall Apart,Post Malone
662,Bartier Cardi,Cardi B
663,I Get The Bag,Gucci Mane
664,Plain Jane,A$AP Ferg
665,Sky Walker,Miguel
666,Roll In Peace,Kodak Black
667,River,Eminem
668,Ric Flair Drip,Offset
669,Lemon,N*E*R*D
670,The Way Life Goes,Lil Uzi Vert
671,KEKE,"6ix9ine, Fetty Wap"
672,Outside Today,YoungBoy Never Broke Again
673,Stir Fry,Migos
674,Pills And Automobiles,Chris Brown
675,All The Stars,Kendrick Lamar
676,Nowadays,Lil Skies
677,Pick It Up,Famous Dex
678,No Smoke,YoungBoy Never Broke Again
679,Rubbin Off The Paint,YBN Nahmir
680,Codeine Dreaming,Kodak Black
681,Betrayed,Lil Xan
682,Red Roses,Lil Skies
683,Candy Paint,Post Malone
684,No Name,NF
685,King's Dead,"Jay Rock, Kendrick Lamar, Future"
686,Kooda,6ix9ine
687,Ice Tray,Quavo
688,My Dawg,Lil Baby
689,Rock,Plies
690,Wanted You,NAV
691,At The Club,Jacquees
692,Juice,Yo Gotti
693,When We,Tank
694,New Freezer,Rich The Kid
695,Solar Eclipse,YoungBoy Never Broke Again
696,Get You,Daniel Caesar
697,Hardaway,Derez De'Shon
698,i SHYNE,Carnage
699,Poles 1469,Trippie Redd
700,God's Plan,Drake
701,Finesse,Bruno Mars
702,Look Alive,BlocBoy JB
703,Rockstar,Post Malone
704,All The Stars,Kendrick Lamar
705,Pray For Me,The Weeknd
706,Stir Fry,Migos
707,Let You Down,NF
708,Him & I,G-Eazy
709,Love.,Kendrick Lamar
710,I Fall Apart,Post Malone
711,MotorSport,"Migos, Nicki Minaj"
712,King's Dead,"Jay Rock, Kendrick Lamar, Future"
713,Gummo,6ix9ine
714,Bartier Cardi,Cardi B
715,No Limit,G-Eazy
716,River,Eminem
717,Outside Today,YoungBoy Never Broke Again
718,Sky Walker,Miguel
719,Plain Jane,A$AP Ferg
720,Ric Flair Drip,Offset
721,New Freezer,Rich The Kid
722,Gucci Gang,Lil Pump
723,Lemon,N*E*R*D
724,Walk It Talk It,Migos
725,X,"ScHoolboy Q, 2 Chainz"
726,Pick It Up,Famous Dex
727,Narcos,Migos
728,Paramedic!,SOB
729,Betrayed,Lil Xan
730,The Ways,Khalid
731,Plug Walk,Rich The Kid
732,Nowadays,Lil Skies
733,No Smoke,YoungBoy Never Broke Again
734,Hardaway,Derez De'Shon
735,Red Roses,Lil Skies
736,When We,Tank
737,KEKE,"6ix9ine, Fetty Wap"
738,Big Shot,Kendrick Lamar
739,Candy Paint,Post Malone
740,At The Club,Jacquees
741,Notice Me,Migos
742,Codeine Dreaming,Kodak Black
743,Get You,Daniel Caesar
744,Rock,Plies
745,Rubbin Off The Paint,YBN Nahmir
746,Booty,Blac Youngsta
747,Black Panther,Kendrick Lamar
748,My Dawg,Lil Baby
749,Kooda,6ix9ine
750,God's Plan,Drake
751,Finesse,Bruno Mars
752,Psycho,Post Malone
753,Look Alive,BlocBoy JB
754,Freaky Friday,Lil Dicky
755,Sad!,XXXTENTACION
756,Pray For Me,The Weeknd
757,Stir Fry,Migos
758,Walk It Talk It,Migos
759,All The Stars,Kendrick Lamar
760,Ric Flair Drip,Offset
761,Plug Walk,Rich The Kid
762,Let You Down,NF
763,Him & I,G-Eazy
764,King's Dead,"Jay Rock, Kendrick Lamar, Future"
765,Lemon,N*E*R*D
766,Powerglide,Rae Sremmurd
767,Changes,XXXTENTACION
768,Outside Today,YoungBoy Never Broke Again
769,New Freezer,Rich The Kid
770,MotorSport,"Migos, Nicki Minaj"
771,Bartier Cardi,Cardi B
772,Moonlight,XXXTENTACION
773,Gummo,6ix9ine
774,Billy,6ix9ine
775,Hardaway,Derez De'Shon
776,Top Off,DJ Khaled
777,Everyday,Logic
778,Red Roses,Lil Skies
779,Japan,Famous Dex
780,NBAYoungboat,Lil Yachty
781,Sativa,Jhene Aiko
782,Nowadays,Lil Skies
783,44 More,Logic
784,Narcos,Migos
785,Tempo,Chris Brown
786,Booty,Blac Youngsta
787,Rubbin Off The Paint,YBN Nahmir
788,The Remedy For A Broken Heart (Why Am I So In Love),XXXTENTACION
789,Dark Knight Dummo,Trippie Redd
790,Get You,Daniel Caesar
791,Boo'd Up,Ella Mai
792,At The Club,Jacquees
793,Medicine,Queen Naija
794,Focus,H.E.R.
795,Broken Clocks,SZA
796,Bounce Out With That,YBN Nahmir
797,River,Eminem
798,Rover 2.0,BlocBoy JB
799,Kooda,6ix9ine
800,Nice For What,Drake
801,God's Plan,Drake
802,Psycho,Post Malone
803,ATM,J. Cole
804,Kevin's Heart,J. Cole
805,Look Alive,BlocBoy JB
806,KOD,J. Cole
807,Freaky Friday,Lil Dicky
808,Photograph,J. Cole
809,Motiv8,J. Cole
810,I Like It,"Cardi B, Bad Bunny"
811,Walk It Talk It,Migos
812,Call Out My Name,The Weeknd
813,1985 (Intro To The Fall Off),J. Cole
814,Plug Walk,Rich The Kid
815,Be Careful,Cardi B
816,Finesse,Bruno Mars
817,Pray For Me,The Weeknd
818,The Cut Off,J. Cole
819,Brackets,J. Cole
820,Sad!,XXXTENTACION
821,Japan,Famous Dex
822,Esskeetit,Lil Pump
823,Stir Fry,Migos
824,Powerglide,Rae Sremmurd
825,Window Pain (Outro),J. Cole
826,All The Stars,Kendrick Lamar
827,Friends,J. Cole
828,Once An Addict (Interlude),J. Cole
829,Chun-Li,Nicki Minaj
830,Drip,Cardi B
831,Intro,J. Cole
832,King's Dead,"Jay Rock, Kendrick Lamar, Future"
833,Boo'd Up,Ella Mai
834,OTW,"Khalid, Ty Dolla $ign"
835,Bartier Cardi,Cardi B
836,New Freezer,Rich The Kid
837,Everyday,Logic
838,Outside Today,YoungBoy Never Broke Again
839,I Do,Cardi B
840,Ring,Cardi B
841,Barbie Tingz,Nicki Minaj
842,Changes,XXXTENTACION
843,Diamond Teeth Samurai,YoungBoy Never Broke Again
844,Sativa,Jhene Aiko
845,Red Roses,Lil Skies
846,Moonlight,XXXTENTACION
847,Close,Rae Sremmurd
848,Thru Your Phone,Cardi B
849,Best Life,Cardi B
850,Nice For What,Drake
851,This Is America,Childish Gambino
852,God's Plan,Drake
853,Psycho,Post Malone
854,Yes Indeed,Lil Baby
855,Boo'd Up,Ella Mai
856,Look Alive,BlocBoy JB
857,Walk It Talk It,Migos
858,Be Careful,Cardi B
859,I Like It,"Cardi B, Bad Bunny"
860,Freaky Friday,Lil Dicky
861,Pray For Me,The Weeknd
862,Plug Walk,Rich The Kid
863,Chun-Li,Nicki Minaj
864,Better Now,Post Malone
865,Call Out My Name,The Weeknd
866,Sad!,XXXTENTACION
867,All The Stars,Kendrick Lamar
