Title,Artist
Such A Simple Thing,Ray LaMontagne
Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid
Don't Give In,Snow Patrol
Whatever It Takes,Imagine Dragons
Thunder,Imagine Dragons
Believer,Imagine Dragons
Feel It Still,Portugal. The Man
Sit Next To Me,Foster The People
Zombie,Bad Wolves
Say Amen (Saturday Night),Panic! At The Disco
Bohemian Rhapsody,Queen
No Roots,Alice Merton
Where You Come From,Britton Buchanan
Broken,lovelytheband
Gone Away,Five Finger Death Punch
Another One Bites The Dust,Queen
Sham Pain,Five Finger Death Punch
New Light,John Mayer
Bulletproof,Godsmack
We Will Rock You,Queen
Hunger,Florence + The Machine
Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May"
Thought Contagion,Muse
I Feel Like I'm Drowning,Two Feet
Saturday Sun,Vance Joy
Devil,Shinedown
You Worry Me,Nathaniel Rateliff & The Night Sweats
Us,James Bay & Alicia Keys
