Title,Artist
Merengue,Kent Jones
Stir Fry,Migos
Make Me Feel,Janelle Monae
Sky Walker,Miguel Featuring Travis Scott
Sober Up,AJR Featuring Rivers Cuomo
The Middle,"Zedd, Maren Morris & Grey"
Never Be The Same,Camila Cabello
Meant To Be,Bebe Rexha & Florida Georgia Line
God's Plan,Drake
Pray For Me,The Weeknd & Kendrick Lamar
Whatever It Takes,Imagine Dragons
New Rules,Dua Lipa
Wait,Maroon 5
Finesse,Bruno Mars & Cardi B
Mine,Bazzi
Friends,Marshmello & Anne-Marie
Him & I,G-Eazy & Halsey
In My Blood,Shawn Mendes
Let You Down,NF
Perfect,Ed Sheeran
No Excuses,Meghan Trainor
I Like Me Better,Lauv
All The Stars,Kendrick Lamar & SZA
Psycho,Post Malone Featuring Ty Dolla $ign
Tell Me You Love Me,Demi Lovato
IDGAF,Dua Lipa
No Tears Left To Cry,Ariana Grande
Delicate,Taylor Swift
Want You Back,5 Seconds Of Summer
One Kiss,Calvin Harris & Dua Lipa
Done For Me,Charlie Puth Featuring Kehlani
Alone,Halsey Featuring Big Sean & Stefflon Don
On The Loose,Niall Horan
No Roots,Alice Merton
Sit Next To Me,Foster The People
Everyday,Logic & Marshmello
Say Something,Justin Timberlake Featuring Chris Stapleton
Nice For What,Drake
Let Me,Zayn
Love Lies,Khalid & Normani
Merengue,Kent Jones
Sober Up,AJR Featuring Rivers Cuomo
These Days,"Rudimental Featuring Jess Glynne, Macklemore & Dan Caplen"
Tattoo (How 'Bout You),In Real Life
Sober,G-Eazy Featuring Charlie Puth
The Middle,"Zedd, Maren Morris & Grey"
Never Be The Same,Camila Cabello
Whatever It Takes,Imagine Dragons
Psycho,Post Malone Featuring Ty Dolla $ign
Wait,Maroon 5
Mine,Bazzi
God's Plan,Drake
Pray For Me,The Weeknd & Kendrick Lamar
Friends,Marshmello & Anne-Marie
No Tears Left To Cry,Ariana Grande
In My Blood,Shawn Mendes
New Rules,Dua Lipa
I Like Me Better,Lauv
Delicate,Taylor Swift
Meant To Be,Bebe Rexha & Florida Georgia Line
IDGAF,Dua Lipa
All The Stars,Kendrick Lamar & SZA
One Kiss,Calvin Harris & Dua Lipa
Done For Me,Charlie Puth Featuring Kehlani
Nice For What,Drake
Back To You,Selena Gomez
Alone,Halsey Featuring Big Sean & Stefflon Don
On The Loose,Niall Horan
Sit Next To Me,Foster The People
Everyday,Logic & Marshmello
Let Me,Zayn
Love Lies,Khalid & Normani
Familiar,Liam Payne & J Balvin
Sober Up,AJR Featuring Rivers Cuomo
Tattoo (How 'Bout You),In Real Life
